startDatetime,Total_acc,Total_mse,FILLBLANK_acc,FILLBLANK_mse,MCHOICE_acc,MCHOICE_mse,SCHOICE_acc,SCHOICE_mse,SHORTANSWER_acc,SHORTANSWER_mse
9/26/20 10:01,0.50728,0.30009,0.41489,0.28936,0.19149,0.33106,0.62766,0.37234,0.37766,0.12246
9/4/21 0:00,0.45556,0.27211,0.32222,0.54667,0.4,0.32533,0.76296,0.23704,0.15111,0.19372
9/8/21 10:06,0.61667,0.272,0.11111,0.44356,,,0.78519,0.21481,,
9/25/21 9:37,0.49064,0.23613,0.14394,0.3097,0.42614,0.21432,0.74675,0.25325,0.32576,0.15169
9/5/20 8:29,0.46277,0.26891,0.29787,0.29163,0.56383,0.11617,0.59878,0.40122,0.29787,0.09669
